--- Análisis de la IA para la ruleta ---

Jugadas totales: 100000

Historial de jugadas (últimas 1000):
Paso: 99201, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12448.50
Paso: 99202, Acción (apuesta): 4, Recompensa: 2.00, Saldo: -12447.50
Paso: 99203, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12449.50
Paso: 99204, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12448.50
Paso: 99205, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12453.50
Paso: 99206, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12458.50
Paso: 99207, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12463.50
Paso: 99208, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12465.50
Paso: 99209, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12467.50
Paso: 99210, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12472.50
Paso: 99211, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12468.50
Paso: 99212, Acción (apuesta): 5, Recompensa: 2.00, Saldo: -12466.00
Paso: 99213, Acción (apuesta): 5, Recompensa: 2.00, Saldo: -12465.00
Paso: 99214, Acción (apuesta): 4, Recompensa: 2.00, Saldo: -12461.00
Paso: 99215, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12463.00
Paso: 99216, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12465.00
Paso: 99217, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12467.00
Paso: 99218, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12472.00
Paso: 99219, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12477.00
Paso: 99220, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12482.00
Paso: 99221, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12481.00
Paso: 99222, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12486.00
Paso: 99223, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12486.50
Paso: 99224, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12491.50
Paso: 99225, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12489.00
Paso: 99226, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12491.00
Paso: 99227, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12490.00
Paso: 99228, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12492.00
Paso: 99229, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12497.00
Paso: 99230, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12502.00
Paso: 99231, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12504.00
Paso: 99232, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12500.00
Paso: 99233, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12499.00
Paso: 99234, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12500.00
Paso: 99235, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12498.00
Paso: 99236, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12497.00
Paso: 99237, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12496.00
Paso: 99238, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12501.00
Paso: 99239, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12500.00
Paso: 99240, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12505.00
Paso: 99241, Acción (apuesta): 1, Recompensa: 1.00, Saldo: -12505.00
Paso: 99242, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12508.00
Paso: 99243, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12510.00
Paso: 99244, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12506.00
Paso: 99245, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12505.00
Paso: 99246, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12504.00
Paso: 99247, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12498.50
Paso: 99248, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12503.50
Paso: 99249, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12508.50
Paso: 99250, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12511.50
Paso: 99251, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12510.50
Paso: 99252, Acción (apuesta): 1, Recompensa: -1.00, Saldo: -12511.50
Paso: 99253, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12516.50
Paso: 99254, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12512.50
Paso: 99255, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12517.50
Paso: 99256, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12516.50
Paso: 99257, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12517.50
Paso: 99258, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12514.50
Paso: 99259, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12515.50
Paso: 99260, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12514.50
Paso: 99261, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12513.50
Paso: 99262, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12518.50
Paso: 99263, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12514.50
Paso: 99264, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12516.50
Paso: 99265, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12518.50
Paso: 99266, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12520.50
Paso: 99267, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12519.50
Paso: 99268, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12518.50
Paso: 99269, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12517.50
Paso: 99270, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12519.50
Paso: 99271, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12518.50
Paso: 99272, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12523.50
Paso: 99273, Acción (apuesta): 5, Recompensa: 2.00, Saldo: -12522.50
Paso: 99274, Acción (apuesta): 1, Recompensa: -1.00, Saldo: -12527.50
Paso: 99275, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12530.50
Paso: 99276, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12535.50
Paso: 99277, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12537.50
Paso: 99278, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12536.50
Paso: 99279, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12538.50
Paso: 99280, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12535.50
Paso: 99281, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12537.50
Paso: 99282, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12536.50
Paso: 99283, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12538.50
Paso: 99284, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12540.50
Paso: 99285, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12538.50
Paso: 99286, Acción (apuesta): 4, Recompensa: 2.00, Saldo: -12536.50
Paso: 99287, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12538.50
Paso: 99288, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12540.50
Paso: 99289, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12542.50
Paso: 99290, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12547.50
Paso: 99291, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12548.00
Paso: 99292, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12544.00
Paso: 99293, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12549.00
Paso: 99294, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12548.00
Paso: 99295, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12553.00
Paso: 99296, Acción (apuesta): 1, Recompensa: -1.00, Saldo: -12558.00
Paso: 99297, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12559.00
Paso: 99298, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12555.00
Paso: 99299, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12555.50
Paso: 99300, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12553.00
Paso: 99301, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12558.00
Paso: 99302, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12558.50
Paso: 99303, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12559.00
Paso: 99304, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12556.50
Paso: 99305, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12555.50
Paso: 99306, Acción (apuesta): 1, Recompensa: 1.00, Saldo: -12552.50
Paso: 99307, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12555.50
Paso: 99308, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12560.50
Paso: 99309, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12565.50
Paso: 99310, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12567.50
Paso: 99311, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12568.50
Paso: 99312, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12570.50
Paso: 99313, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12569.50
Paso: 99314, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12571.50
Paso: 99315, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12576.50
Paso: 99316, Acción (apuesta): 1, Recompensa: -1.00, Saldo: -12581.50
Paso: 99317, Acción (apuesta): 1, Recompensa: 1.00, Saldo: -12578.50
Paso: 99318, Acción (apuesta): 1, Recompensa: -1.00, Saldo: -12577.50
Paso: 99319, Acción (apuesta): 1, Recompensa: 1.00, Saldo: -12578.50
Paso: 99320, Acción (apuesta): 1, Recompensa: 1.00, Saldo: -12575.50
Paso: 99321, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12578.50
Paso: 99322, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12583.50
Paso: 99323, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12582.50
Paso: 99324, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12551.50
Paso: 99325, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12550.50
Paso: 99326, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12549.50
Paso: 99327, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12550.50
Paso: 99328, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12552.50
